model_b,metric,general_proxy,layer,baseline_accuracy,intervention_accuracy,tool_damage_probability,baseline_perplexity_arithmetic_mean,intervention_perplexity_arithmetic_mean,perplexity_relative_damage,perplexity_log_ratio,predicted_tool_damage_probability,residual_probability,residual_pointwise_95_low,residual_pointwise_95_high,residual_simultaneous_95_low,residual_simultaneous_95_high,residual_bootstrap_se,leverage,leave_one_layer_out_residual,isotonic_log_residual,damage_rank_descending_average_ties,residual_rank_descending_average_ties,equal_damage_layers,intervention_complete_failure,baseline_at_ceiling,point_residual_at_least_10pp,simultaneous_low_above_zero,simultaneous_low_above_10pp,raw_log_and_loo_point_material,isotonic_point_material
1.7,tool_selection,relative,13,1.0,1.0,0.0,22.592421531677246,22.449916458129884,-0.006307649374705293,-0.006327626645742586,0.23700087759118288,-0.23700087759118288,-0.26850872911813367,-0.20735676386373184,-0.2940105706315496,-0.17999118455081614,0.015728752700031268,0.03703882080429116,-0.2461167518602696,-0.10384615384615385,23.0,18.0,11,False,True,False,False,False,False,False
1.7,tool_selection,relative,14,1.0,0.7,0.30000000000000004,22.592421531677246,22.01256980895996,-0.025665762384269653,-0.026000874435705514,0.2370008640832365,0.06299913591676354,-0.11485304654878217,0.2574347742990067,-0.28313435657445873,0.4091326284079858,0.09549688507772995,0.03703882211577076,0.06542230088151854,0.19615384615384618,10.0,9.0,1,False,True,False,False,False,False,True
1.7,tool_selection,relative,15,1.0,0.9,0.09999999999999998,22.592421531677246,21.431989097595213,-0.051363791723475494,-0.052729896040971724,0.23700084615134398,-0.137000846151344,-0.22958395513767094,-0.011067136556931992,-0.34204853197536683,0.06804683967267883,0.05657185945127156,0.03703882385677004,-0.14227037345373372,0.0,13.0,12.0,3,False,True,False,False,False,False,False
1.7,tool_selection,relative,16,1.0,1.0,0.0,22.592421531677246,28.53590793609619,0.2630743409282388,0.2335487022285671,0.23700106556391956,-0.23700106556391956,-0.26850883169695294,-0.20735697625186642,-0.29401069467569346,-0.17999143645214563,0.01572873506238101,0.03703880255418171,-0.24611694239866252,-0.32916666666666666,23.0,25.0,11,False,True,False,False,False,False,False
1.7,tool_selection,relative,17,1.0,0.9,0.09999999999999998,22.592421531677246,24.616132926940917,0.08957478915777961,0.0857875184414833,0.23700094449723086,-0.13700094449723088,-0.2443754688527908,0.005559980909544065,-0.36960389134871874,0.095602002354257,0.0641742488551037,0.03703881430842677,-0.14227047417164626,-0.003846153846153874,13.0,13.0,3,False,True,False,False,False,False,False
1.7,tool_selection,relative,18,1.0,0.9,0.09999999999999998,22.592421531677246,25.758917236328124,0.14015742846383583,0.13116634801586313,0.237000979793418,-0.13700097979341802,-0.23882846617221842,0.0018601242688058035,-0.36325822493541104,0.08925626534857503,0.06242349442065801,0.03703881088154948,-0.1422705103191505,-0.003846153846153874,13.0,14.0,3,False,True,False,False,False,False,False
1.7,tool_selection,relative,19,1.0,0.65,0.35,22.592421531677246,24.905257415771484,0.10237219949403698,0.0974644027934873,0.237000953427168,0.11299904657283197,-0.07771056821415057,0.3185491219916987,-0.25860394599501024,0.48460203914067423,0.1025238211430571,0.03703881344142622,0.11734538021897586,0.2461538461538461,9.0,8.0,1,False,True,True,False,False,True,True
1.7,tool_selection,relative,20,1.0,0.6,0.4,22.592421531677246,38.02307968139648,0.6830015157110816,0.5205788158090249,0.2370013585859592,0.16299864141404083,-0.03515601490350102,0.3648751389783089,-0.21206268862084485,0.5380599714489265,0.1034779630068602,0.03703877410517759,0.16926812526908955,0.07083333333333336,8.0,7.0,1,False,True,True,False,False,True,False
1.7,tool_selection,relative,21,1.0,0.5,0.5,22.592421531677246,30.482859802246093,0.3492515514330998,0.29955003236446237,0.23700112569773205,0.262998874302268,0.06107620195569058,0.4685523430914146,-0.1188330912470712,0.6448308398516072,0.10534595502627844,0.03703879671586872,0.2731147147001597,0.17083333333333334,6.0,5.0,1,False,True,True,False,False,True,True
1.7,tool_selection,relative,22,1.0,1.0,0.0,22.592421531677246,33.650381851196286,0.4894544085951331,0.3984098841731307,0.23700122353023645,-0.23700122353023645,-0.2685089040781136,-0.2073571622923704,-0.294010874664853,-0.1799915723956199,0.015728741138397687,0.037038787217466666,-0.2461171025210947,-0.32916666666666666,23.0,28.0,11,False,True,False,False,False,False,False
